"strain","pval","exper","statistic","df","p.value"
"2176",0.0027,1,9,1,0.00269979606326021
"363",0.82,1,0.0535259133389975,1,0.817037716647013
"4373",0.08,1,3.06693069306931,1,0.0799001953024175
"4535",0.095,1,2.78516624040921,1,0.0951408203610898
"4922",0.0016,1,9.96551724137931,1,0.00159499361695048
"5662",0.079,1,3.07612623464225,1,0.0794495478423165
"5663",0.43,1,0.609756097560976,1,0.434879658495783
"5913",0.79,1,0.0731707317073171,1,0.786774932007403
"6169",0.72,1,0.128644939965695,1,0.719841169414043
"6332",0.044,1,4.04967602591793,1,0.0441798228488123
"6574",0.0027,1,9,1,0.00269979606326021
"6704",0.016,1,5.82758620689655,1,0.0157767563889281
"6876",0.82,1,0.0535259133389975,1,0.817037716647013
"7837",0.18,1,1.79919839679359,1,0.179809435014869
"5937",0.77,2,0.0884955752212388,1,0.766098503475603
"6490",0.31,2,1.01787908316739,1,0.313022625363313
"6986",0.0082,2,6.9960475264218,1,0.00816898890046391
"ITR4comp",0.31,2,1.03848427841978,1,0.3081742508251
"7703",0.31,3,0.0535259133389974,1,0.817037716647013
"ITR4comp",0.47,4,0.514284648306278,1,0.473289923924369
"5662",0.013,4,6.21723548909899,1,0.0126512503121343
